CD_CLIENTE,CIDADE,DS_CNAE,DS_SEGMENTO,DS_SUBSEGMENTO,FAT_FAIXA_x,UF,PAIS_FMT,CLIENTE_DESDE,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,﻿NR_PROPOSTA,ITEM_PROPOSTA,DT_UPLOAD,HOSPEDAGEM,FAT_FAIXA_y,CD_PROD,QTD,MESES_BONIF,VL_PCT_DESC_TEMP,VL_PCT_DESCONTO,PRC_UNITARIO,VL_DESCONTO_TEMPORARIO,VL_TOTAL,VL_FULL,VL_DESCONTO
99958,JOINVILLE,PESSOA FISICA (SEM CNAE),SERVICOS,PROVEDOR SERVICOS,Faixa 09 - De 300 M ate 500 M,SC,BRASIL,2016-04-07,,,,,,,,,,,,,,,,,
T00053,RIODEJANEIRO,Fabricacao de preparacoes farmaceuticas,MANUFATURA,BENS DURAVEIS,Faixa 05 - De 35 M ate 50 M,RJ,BRASIL,1992-02-26,1.0,"4317,9500568851",AAKHCJ,1.0,2024-05-24,ON PREMISES,Faixa 05 - De 35 M ate 50 M,5J16017016,50,0.0,0,0,"60,1067526465167",0,"3005,33763232584","0,210192868395988",0
99069,SAOPAULO,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,VAREJO,VAREJO,Sem Informações de Faturamento,SP,BRASIL,2017-08-31,,,,,,,,,,,,,,,,,
T00336,SAOPAULO,Fabricacao de cronometros e relogios,MANUFATURA,BENS DURAVEIS,Faixa 08 - De 150 M ate 300 M,SP,BRASIL,2001-08-28,3.0,"546,190372384343",AAMFBL,1.0,2025-01-26,ON PREMISES,Faixa 08 - De 150 M ate 300 M,1131001030-6,1,0.0,0,0,"9336,57383671086",0,"9336,57383671086","9336,57383671086",0
T00018,SAOPAULO,Hoteis,SERVICOS,VIAGENS,"Faixa 02 - De 7,5 M ate 15 M",SP,BRASIL,2002-01-01,,,,,,,,,,,,,,,,,
99999,SAOPAULO,Desenvolvimento de programas de computador sob encomenda,TOTVS,TOTVS,Sem Informações de Faturamento,SP,BRASIL,2006-06-16,,,,,,,,,,,,,,,,,
T00145,SANTOANDRE,"Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas",LOGISTICA,ATACADISTA E DISTRIBUIDOR,Faixa 03 - De 15 M ate 25 M,SP,BRASIL,2005-04-12,1.0,"24,3403341602554",AAKUKI,1.0,2024-07-25,ON PREMISES,Faixa 03 - De 15 M ate 25 M,7TA1001079,10,0.0,0,0,"2,34995626866715",0,"23,4995626866715","23,4995626866715",0
T00082,CAJAMAR,Servicos de engenharia,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Faixa 04 - De 25 M ate 35 M,SP,BRASIL,2010-06-07,4.0,"11436,1693798315",AAKNZV,2.0,2024-07-12,ON PREMISES,Faixa 04 - De 25 M ate 35 M,AUT.05.001002,5,999.0,"17,9366402702769",0,"73,3236802112564","156,425532660294","366,618401056282","366,618401056282",0
T00673,SAOBERNARDODOCAMPO,Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente,MANUFATURA,QUIMICA & RECICLAGEM,Faixa 03 - De 15 M ate 25 M,SP,BRASIL,2003-01-01,1.0,"6782,37315782334",AAMBAC,1.0,2025-01-09,ON PREMISES,Faixa 03 - De 15 M ate 25 M,1119001000-5,1,0.0,0,"6,30578605187964","3,63213276588267",0,"3,63213276588267","4,2753229431744","0,643190177291723"
CARAMU,ITUMBIARA,"Fabricacao de oleos vegetais refinados, exceto oleo de milho",MANUFATURA,BENS DE CONSUMO,Sem Informações de Faturamento,GO,BRASIL,2022-06-17,,,,,,,,,,,,,,,,,
